sample_id	input_name	sha256
P5	roi	d1ea78af5f28047d8ab4ed31ac1920d4cc074790681b27f3734bf8fc952b9136
P5	cell_feature_matrix	f0b72c293fa527068c6d65cc1a286605ebf3eeca20f3716ae3820e134eee0928
P5	cells_parquet	7c51499b925b3e68baae735336b823e255bf94ffeaa40992adea55fe1164e255
P5	transcripts_parquet	92716b85d3d636b55ad2a27c611624a5db9e614705812183fa4063aaaa5a4bae
LN	roi	601c33f002f09275af72d28b87ee92d33a90c55a17c4d0630aebc9b6419f6a95
LN	cell_feature_matrix	21dd59f14a25fec60d7a41e2f1086c91a430c00a6b0b1878695fdba68f44f5a5
LN	cells_parquet	8d600044e717641a305197ed29ae5073f955f01acbd0b7115b07938d6ee9054d
LN	transcripts_parquet	9e0207edc9461b476c6aca6d5e46e8e3eef3d6a71a8cd841ed9300fec8bee955
