sample_id	exact_gene_module_sha256	partition_sha256	assigned	modules
P1	6e5b37d38cf3db45e20b85c37c95a15837fd2bcc3ee2b877561b490380a6b9f7	53853718d68804bfb9dc35af9d8deadebd59062b4fbc4ff3cdeaac4f6917a088	177	19
P2	9e69e1962f23b4984bf346b87df0f23a706958a766666749ee8799b294bcc222	29aad0748e7c1b0324e66c26a2c43429c8a893f4f3aaee32b66cd02250d04c91	195	28
P5	5a35afa89ee4adfd4236edca5a026478d170d9318cec941fc3dcc2726b3cce15	8ff7b5365ec66d2e76af26acbc754672c26cfb6f1c8ea3d8dbf657a368262d1c	175	27
LN	f20dcbcc36c8e676d561bde271b8375f983899b1946cb2c20950862741f239c5	4e93cdf823f1d766b0e5c76326d8a850b01caa6278eb4944f4ce534c3e93f96f	252	15
